[Error  - 03:26:12.462] Getting token failed: Error: Unknown or unsupported transport “disabled” for address “disabled:”
[Info  - 03:26:14.587] Logging in...
[Info  - 03:26:18.425] Logging in...
[Info  - 03:26:38.793] Logging in...
[Info  - 03:27:10.942] Logging in...
[Info  - 03:28:29.930] Logging in...
[Info  - 03:28:35.10] Logging in...
[Info  - 03:30:04.317] Treating input as token
[Info  - 03:30:16.772] Treating input as token
[Info  - 03:30:19.942] Logging in...
[Info  - 03:31:39.693] Logging in...
[Info  - 03:32:30.271] Logging in...
[Info  - 03:32:36.575] Logging in...
[Info  - 03:33:44.333] Logging in...
[Info  - 03:33:53.830] Logging in...
[Info  - 03:35:30.975] Logging in...
[Info  - 03:36:10.39] Logging in...
[Info  - 03:37:20.667] Treating input as token
[Info  - 03:41:12.506] Logging in...
[Info  - 03:44:24.987] Logging in...
[Info  - 03:44:57.26] Logging in...
[Info  - 03:45:03.589] Logging in...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:18.95] Exchanging code for token...
[Info  - 03:45:54.491] Logging in...
[Info  - 03:46:42.377] Logging in...
